ca.rmen.android.scrumchatter - Installs by user by Android Version for 2013-06-29 - 2019-02-24
,,Metric,Installs by user,Notes
,,Dimension,All Android versions
Period,Date
2013-06-29 - 2019-02-24,2013-12-18,,1
2013-06-29 - 2019-02-24,2013-12-19,,-
2013-06-29 - 2019-02-24,2013-12-20,,-
2013-06-29 - 2019-02-24,2013-12-21,,-
2013-06-29 - 2019-02-24,2013-12-22,,1
2013-06-29 - 2019-02-24,2013-12-23,,-
2013-06-29 - 2019-02-24,2013-12-24,,-
2013-06-29 - 2019-02-24,2013-12-25,,1
2013-06-29 - 2019-02-24,2013-12-26,,-
2013-06-29 - 2019-02-24,2013-12-27,,-
2013-06-29 - 2019-02-24,2013-12-28,,-
2013-06-29 - 2019-02-24,2013-12-29,,-
2013-06-29 - 2019-02-24,2013-12-30,,-
2013-06-29 - 2019-02-24,2013-12-31,,-
2013-06-29 - 2019-02-24,2014-01-01,,-
2013-06-29 - 2019-02-24,2014-01-02,,2
2013-06-29 - 2019-02-24,2014-01-03,,-
2013-06-29 - 2019-02-24,2014-01-04,,1
2013-06-29 - 2019-02-24,2014-01-05,,-
2013-06-29 - 2019-02-24,2014-01-06,,-
2013-06-29 - 2019-02-24,2014-01-07,,-
2013-06-29 - 2019-02-24,2014-01-08,,1
2013-06-29 - 2019-02-24,2014-01-09,,-
2013-06-29 - 2019-02-24,2014-01-10,,-
2013-06-29 - 2019-02-24,2014-01-11,,2
2013-06-29 - 2019-02-24,2014-01-12,,-
2013-06-29 - 2019-02-24,2014-01-13,,-
2013-06-29 - 2019-02-24,2014-01-14,,-
2013-06-29 - 2019-02-24,2014-01-15,,1
2013-06-29 - 2019-02-24,2014-01-16,,-
2013-06-29 - 2019-02-24,2014-01-17,,1
2013-06-29 - 2019-02-24,2014-01-18,,1
2013-06-29 - 2019-02-24,2014-01-19,,1
2013-06-29 - 2019-02-24,2014-01-20,,-
2013-06-29 - 2019-02-24,2014-01-21,,-
2013-06-29 - 2019-02-24,2014-01-22,,-
2013-06-29 - 2019-02-24,2014-01-23,,-
2013-06-29 - 2019-02-24,2014-01-24,,1
2013-06-29 - 2019-02-24,2014-01-25,,1
2013-06-29 - 2019-02-24,2014-01-26,,-
2013-06-29 - 2019-02-24,2014-01-27,,-
2013-06-29 - 2019-02-24,2014-01-28,,-
2013-06-29 - 2019-02-24,2014-01-29,,-
2013-06-29 - 2019-02-24,2014-01-30,,-
2013-06-29 - 2019-02-24,2014-01-31,,-
2013-06-29 - 2019-02-24,2014-02-01,,1
2013-06-29 - 2019-02-24,2014-02-02,,-
2013-06-29 - 2019-02-24,2014-02-03,,1
2013-06-29 - 2019-02-24,2014-02-04,,-
2013-06-29 - 2019-02-24,2014-02-05,,-
2013-06-29 - 2019-02-24,2014-02-06,,-
2013-06-29 - 2019-02-24,2014-02-07,,-
2013-06-29 - 2019-02-24,2014-02-08,,1
2013-06-29 - 2019-02-24,2014-02-09,,-
2013-06-29 - 2019-02-24,2014-02-10,,-
2013-06-29 - 2019-02-24,2014-02-11,,1
2013-06-29 - 2019-02-24,2014-02-12,,1
2013-06-29 - 2019-02-24,2014-02-13,,-
2013-06-29 - 2019-02-24,2014-02-14,,1
2013-06-29 - 2019-02-24,2014-02-15,,1
2013-06-29 - 2019-02-24,2014-02-16,,-
2013-06-29 - 2019-02-24,2014-02-17,,2
2013-06-29 - 2019-02-24,2014-02-18,,-
2013-06-29 - 2019-02-24,2014-02-19,,-
2013-06-29 - 2019-02-24,2014-02-20,,2
2013-06-29 - 2019-02-24,2014-02-21,,1
2013-06-29 - 2019-02-24,2014-02-22,,-
2013-06-29 - 2019-02-24,2014-02-23,,1
2013-06-29 - 2019-02-24,2014-02-24,,1
2013-06-29 - 2019-02-24,2014-02-25,,1
2013-06-29 - 2019-02-24,2014-02-26,,-
2013-06-29 - 2019-02-24,2014-02-27,,-
2013-06-29 - 2019-02-24,2014-02-28,,-
2013-06-29 - 2019-02-24,2014-03-01,,-
2013-06-29 - 2019-02-24,2014-03-02,,-
2013-06-29 - 2019-02-24,2014-03-03,,1
2013-06-29 - 2019-02-24,2014-03-04,,1
2013-06-29 - 2019-02-24,2014-03-05,,1
2013-06-29 - 2019-02-24,2014-03-06,,-
2013-06-29 - 2019-02-24,2014-03-07,,-
2013-06-29 - 2019-02-24,2014-03-08,,1
2013-06-29 - 2019-02-24,2014-03-09,,1
2013-06-29 - 2019-02-24,2014-03-10,,2
2013-06-29 - 2019-02-24,2014-03-11,,-
2013-06-29 - 2019-02-24,2014-03-12,,1
2013-06-29 - 2019-02-24,2014-03-13,,-
2013-06-29 - 2019-02-24,2014-03-14,,-
2013-06-29 - 2019-02-24,2014-03-15,,5
2013-06-29 - 2019-02-24,2014-03-16,,-
2013-06-29 - 2019-02-24,2014-03-17,,-
2013-06-29 - 2019-02-24,2014-03-18,,2
2013-06-29 - 2019-02-24,2014-03-19,,2
2013-06-29 - 2019-02-24,2014-03-20,,3
2013-06-29 - 2019-02-24,2014-03-21,,-
2013-06-29 - 2019-02-24,2014-03-22,,1
2013-06-29 - 2019-02-24,2014-03-23,,1
2013-06-29 - 2019-02-24,2014-03-24,,-
2013-06-29 - 2019-02-24,2014-03-25,,2
2013-06-29 - 2019-02-24,2014-03-26,,2
2013-06-29 - 2019-02-24,2014-03-27,,3
2013-06-29 - 2019-02-24,2014-03-28,,1
2013-06-29 - 2019-02-24,2014-03-29,,2
2013-06-29 - 2019-02-24,2014-03-30,,3
2013-06-29 - 2019-02-24,2014-03-31,,1
2013-06-29 - 2019-02-24,2014-04-01,,-
2013-06-29 - 2019-02-24,2014-04-02,,-
2013-06-29 - 2019-02-24,2014-04-03,,1
2013-06-29 - 2019-02-24,2014-04-04,,2
2013-06-29 - 2019-02-24,2014-04-05,,2
2013-06-29 - 2019-02-24,2014-04-06,,-
2013-06-29 - 2019-02-24,2014-04-07,,3
2013-06-29 - 2019-02-24,2014-04-08,,1
2013-06-29 - 2019-02-24,2014-04-09,,-
2013-06-29 - 2019-02-24,2014-04-10,,1
2013-06-29 - 2019-02-24,2014-04-11,,-
2013-06-29 - 2019-02-24,2014-04-12,,-
2013-06-29 - 2019-02-24,2014-04-13,,1
2013-06-29 - 2019-02-24,2014-04-14,,-
2013-06-29 - 2019-02-24,2014-04-15,,2
2013-06-29 - 2019-02-24,2014-04-16,,1
2013-06-29 - 2019-02-24,2014-04-17,,1
2013-06-29 - 2019-02-24,2014-04-18,,2
2013-06-29 - 2019-02-24,2014-04-19,,3
2013-06-29 - 2019-02-24,2014-04-20,,2
2013-06-29 - 2019-02-24,2014-04-21,,2
2013-06-29 - 2019-02-24,2014-04-22,,1
2013-06-29 - 2019-02-24,2014-04-23,,5
2013-06-29 - 2019-02-24,2014-04-24,,3
2013-06-29 - 2019-02-24,2014-04-25,,2
2013-06-29 - 2019-02-24,2014-04-26,,2
2013-06-29 - 2019-02-24,2014-04-27,,3
2013-06-29 - 2019-02-24,2014-04-28,,7
2013-06-29 - 2019-02-24,2014-04-29,,1
2013-06-29 - 2019-02-24,2014-04-30,,-
2013-06-29 - 2019-02-24,2014-05-01,,-
2013-06-29 - 2019-02-24,2014-05-02,,1
2013-06-29 - 2019-02-24,2014-05-03,,-
2013-06-29 - 2019-02-24,2014-05-04,,1
2013-06-29 - 2019-02-24,2014-05-05,,-
2013-06-29 - 2019-02-24,2014-05-06,,-
2013-06-29 - 2019-02-24,2014-05-07,,2
2013-06-29 - 2019-02-24,2014-05-08,,-
2013-06-29 - 2019-02-24,2014-05-09,,1
2013-06-29 - 2019-02-24,2014-05-10,,2
2013-06-29 - 2019-02-24,2014-05-11,,2
2013-06-29 - 2019-02-24,2014-05-12,,1
2013-06-29 - 2019-02-24,2014-05-13,,2
2013-06-29 - 2019-02-24,2014-05-14,,4
2013-06-29 - 2019-02-24,2014-05-15,,7
2013-06-29 - 2019-02-24,2014-05-16,,-
2013-06-29 - 2019-02-24,2014-05-17,,-
2013-06-29 - 2019-02-24,2014-05-18,,1
2013-06-29 - 2019-02-24,2014-05-19,,1
2013-06-29 - 2019-02-24,2014-05-20,,2
2013-06-29 - 2019-02-24,2014-05-21,,3
2013-06-29 - 2019-02-24,2014-05-22,,1
2013-06-29 - 2019-02-24,2014-05-23,,3
2013-06-29 - 2019-02-24,2014-05-24,,1
2013-06-29 - 2019-02-24,2014-05-25,,2
2013-06-29 - 2019-02-24,2014-05-26,,1
2013-06-29 - 2019-02-24,2014-05-27,,1
2013-06-29 - 2019-02-24,2014-05-28,,1
2013-06-29 - 2019-02-24,2014-05-29,,-
2013-06-29 - 2019-02-24,2014-05-30,,-
2013-06-29 - 2019-02-24,2014-05-31,,-
2013-06-29 - 2019-02-24,2014-06-01,,-
2013-06-29 - 2019-02-24,2014-06-02,,1
2013-06-29 - 2019-02-24,2014-06-03,,2
2013-06-29 - 2019-02-24,2014-06-04,,2
2013-06-29 - 2019-02-24,2014-06-05,,1
2013-06-29 - 2019-02-24,2014-06-06,,3
2013-06-29 - 2019-02-24,2014-06-07,,-
2013-06-29 - 2019-02-24,2014-06-08,,-
2013-06-29 - 2019-02-24,2014-06-09,,1
2013-06-29 - 2019-02-24,2014-06-10,,-
2013-06-29 - 2019-02-24,2014-06-11,,2
2013-06-29 - 2019-02-24,2014-06-12,,-
2013-06-29 - 2019-02-24,2014-06-13,,1
2013-06-29 - 2019-02-24,2014-06-14,,1
2013-06-29 - 2019-02-24,2014-06-15,,-
2013-06-29 - 2019-02-24,2014-06-16,,1
2013-06-29 - 2019-02-24,2014-06-17,,2
2013-06-29 - 2019-02-24,2014-06-18,,2
2013-06-29 - 2019-02-24,2014-06-19,,1
2013-06-29 - 2019-02-24,2014-06-20,,-
2013-06-29 - 2019-02-24,2014-06-21,,1
2013-06-29 - 2019-02-24,2014-06-22,,-
2013-06-29 - 2019-02-24,2014-06-23,,1
2013-06-29 - 2019-02-24,2014-06-24,,1
2013-06-29 - 2019-02-24,2014-06-25,,1
2013-06-29 - 2019-02-24,2014-06-26,,-
2013-06-29 - 2019-02-24,2014-06-27,,1
2013-06-29 - 2019-02-24,2014-06-28,,-
2013-06-29 - 2019-02-24,2014-06-29,,-
2013-06-29 - 2019-02-24,2014-06-30,,1
2013-06-29 - 2019-02-24,2014-07-01,,3
2013-06-29 - 2019-02-24,2014-07-02,,-
2013-06-29 - 2019-02-24,2014-07-03,,-
2013-06-29 - 2019-02-24,2014-07-04,,2
2013-06-29 - 2019-02-24,2014-07-05,,-
2013-06-29 - 2019-02-24,2014-07-06,,-
2013-06-29 - 2019-02-24,2014-07-07,,2
2013-06-29 - 2019-02-24,2014-07-08,,1
2013-06-29 - 2019-02-24,2014-07-09,,1
2013-06-29 - 2019-02-24,2014-07-10,,1
2013-06-29 - 2019-02-24,2014-07-11,,-
2013-06-29 - 2019-02-24,2014-07-12,,1
2013-06-29 - 2019-02-24,2014-07-13,,1
2013-06-29 - 2019-02-24,2014-07-14,,-
2013-06-29 - 2019-02-24,2014-07-15,,2
2013-06-29 - 2019-02-24,2014-07-16,,1
2013-06-29 - 2019-02-24,2014-07-17,,-
2013-06-29 - 2019-02-24,2014-07-18,,-
2013-06-29 - 2019-02-24,2014-07-19,,-
2013-06-29 - 2019-02-24,2014-07-20,,2
2013-06-29 - 2019-02-24,2014-07-21,,1
2013-06-29 - 2019-02-24,2014-07-22,,2
2013-06-29 - 2019-02-24,2014-07-23,,1
2013-06-29 - 2019-02-24,2014-07-24,,-
2013-06-29 - 2019-02-24,2014-07-25,,-
2013-06-29 - 2019-02-24,2014-07-26,,-
2013-06-29 - 2019-02-24,2014-07-27,,1
2013-06-29 - 2019-02-24,2014-07-28,,1
2013-06-29 - 2019-02-24,2014-07-29,,-
2013-06-29 - 2019-02-24,2014-07-30,,-
2013-06-29 - 2019-02-24,2014-07-31,,-
2013-06-29 - 2019-02-24,2014-08-01,,-
2013-06-29 - 2019-02-24,2014-08-02,,1
2013-06-29 - 2019-02-24,2014-08-03,,-
2013-06-29 - 2019-02-24,2014-08-04,,-
2013-06-29 - 2019-02-24,2014-08-05,,1
2013-06-29 - 2019-02-24,2014-08-06,,-
2013-06-29 - 2019-02-24,2014-08-07,,1
2013-06-29 - 2019-02-24,2014-08-08,,-
2013-06-29 - 2019-02-24,2014-08-09,,-
2013-06-29 - 2019-02-24,2014-08-10,,1
2013-06-29 - 2019-02-24,2014-08-11,,2
2013-06-29 - 2019-02-24,2014-08-12,,-
2013-06-29 - 2019-02-24,2014-08-13,,2
2013-06-29 - 2019-02-24,2014-08-14,,1
2013-06-29 - 2019-02-24,2014-08-15,,-
2013-06-29 - 2019-02-24,2014-08-16,,-
2013-06-29 - 2019-02-24,2014-08-17,,2
